Date,Author,Content,Keywords,Link,Likes,Shares
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,"We're pleased to welcome Mr. Thami Drissi, Sales Director for Africa at GATEWATCHER, to the AFRICAN CYBERSECURITY SUMMIT 2025!",Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-gatewatcher-activity-7288583712735166464-_lOx,51,1
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,We're honored to welcome Dr. Redda Ben Geloune to the AFRICAN CYBERSECURITY SUMMIT 2025! As the visionary founder of AITEK Group and an accomplished technology ...,Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-techleadership-activity-7285289007062630401-fY4m,57,3
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,Discover how #TrendMicro is driving cybersecurity resilience across Africa and empowering local organizations to defend against modern cyber ...,Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-trendmicro-activity-7287062913171816448--LDf,25,0
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,L'ANSSI joue un rôle clé dans la cybersécurité de l'IA en identifiant les risques et en renforçant la confiance dans ces systèmes. J'aime.,Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/anssi-fr_sommet-pour-laction-sur-lintelligence-artificielle-activity-7290405705348464641-QjHV,21,5
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,L'ANSSI - Agence nationale de la sécurité des systèmes d'information et le Federal Office for Information Security (BSI) copublient un ...,ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_num%C3%A9rique-activity-7143223551746076672-ti2E,56,12
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"Les 14 & 15 mars derniers, l'ANSSI participait au #BreizhCTF. L'occasion pour nos agents de présenter aux visiteurs le Capture The Flag ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_breizhctf-fcsc-activity-7307358724157853697-08Lg,78,15
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"... ANSSI - Agence nationale de la sécurité des systèmes d&#39 · ANSSI - Agence nationale de la sécurité des systèmes d'information. 344,617 ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://www.linkedin.com/posts/anssi-fr_secnumcloud-activity-7075093338508419072-t2VV?trk=public_profile_like_view,19,6
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"La semaine dernière, le Centre de coordination cyber français (NCC-FR), incarné par l'ANSSI, a participé à l'évènement de réseautage #SMI2G ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_smi2g-horizoneurope-horizoneu-activity-7202202941565415424-XQLE,23,9
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,#PanoramaCybermenace | ⚱️ L'ANSSI a de nouveau observé en 2024 que des attaquants aux compétences variables étaient en mesure d'exploiter les ...,ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_panoramacybermenace-s%C3%A9curit%C3%A9-si-activity-7308048790404419584-9joX,45,11
Date inconnue,Amine IDRISS A. KARAMA,Les plus grandes craintes liées à l'espionnage informatique en Afrique sont à rattacher à la Chine. Cette menace revêt une grande importance en ...,cybersécurité Afrique,https://fr.linkedin.com/posts/leadershipdevelopment1_cybers%C3%A9curit%C3%A9-afrique-papss-activity-7239439773545693184-4Al2,66,14
Date inconnue,Amine IDRISS A. KARAMA,Les plus grandes craintes liées à l'espionnage informatique en Afrique sont à rattacher à la Chine. Cette menace revêt une grande importance en ...,fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/leadershipdevelopment1_cybers%C3%A9curit%C3%A9-afrique-papss-activity-7239439773545693184-4Al2,77,17
Date inconnue,Bancal Damien,Post de Bancal Damien · Top 100 des acteurs influents de la cybersécurité en Afrique 2024 - Ciberobs · Plus de posts pertinents · Baromètre de ...,cybersécurité Afrique,https://fr.linkedin.com/posts/bancal-damien_top-100-des-acteurs-influents-de-la-cybers%C3%A9curit%C3%A9-activity-7259593515167363072-FuR6,34,8
Date inconnue,Bancal Damien,Renforcer la résilience cyber en Afrique : Comment HarfangLab aborde les défis de cybersécurité sur le continent ... cybercriminalité en Afrique ...,cybercriminalité Afrique,https://fr.linkedin.com/posts/bancal-damien_top-100-des-acteurs-influents-de-la-cybers%C3%A9curit%C3%A9-activity-7259593515167363072-FuR6,55,13
Date inconnue,Clement Domingo,"Même au Congo, pour un panel devant une salle bondée, on parle de l'ANSSI française ! Je ne sais pas si on prend conscience à quel point ...",cybersécurité Afrique,https://fr.linkedin.com/posts/clementdomingo_cybers%C3%A9curit%C3%A9-afrique-activity-7267138810516328449-LuLt,89,20
Date inconnue,Clement Domingo,"... cybercriminalité en Afrique. Le nombre de cyberattaques continue d'augmenter, avec une croissance notable de 23% des attaques ...",cybercriminalité Afrique,https://fr.linkedin.com/posts/clementdomingo_cybers%C3%A9curit%C3%A9-afrique-activity-7267138810516328449-LuLt,12,4
Date inconnue,Cyber Alert,Une vulnérabilité critique dans Python vient d'être révélée ! Restez informés et protégez vos systèmes dès maintenant. Une alerte émise ...,Cyber Alerte,https://fr.linkedin.com/posts/cyber-alert-fr_s%C3%A9curit%C3%A9informatique-vuln%C3%A9rabilit%C3%A9-python-activity-7302555188886667264-f0na,32,7
Date inconnue,Cyber Alert,"Alertez-vous : Une vulnérabilité critique a été identifiée dans Microsoft Dataverse, pouvant entraîner une élévation de privilèges.",Cyber Alerte,https://fr.linkedin.com/posts/cyber-alert-fr_s%C3%A9curit%C3%A9informatique-microsoftdataverse-alerte-activity-7306849839101739010-vebz,54,10
Date inconnue,Cybermalveillance.gouv.fr,Le label ExpertCyber fête ses 4 ans.,Cybermalveillance.gouv.fr,https://www.linkedin.com/posts/cybermalveillancegouvfr_le-label-expertcyber-f%C3%AAte-ses-4-ans-activity-7306257501144993792-6V_r,67,14
Date inconnue,Cybermalveillance.gouv.fr,[🛡️ Cybersécurité] Des centaines de failles de sécurité corrigées dans les mises à jour du mois de mars ⚠️ Certaines de ces failles sont très ...,Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_cybers%C3%A9curit%C3%A9-failles-s%C3%A9curit%C3%A9-activity-7308063665256030208-qM_l,98,22
Date inconnue,Cybermalveillance.gouv.fr,"Comment faire quand des hackers nous empêche de communiquer sur LinkedIn et indeed ou France Travail jusqu'à présent inclus, c'est mon cas ...",Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_saferinternetday-cyberenclair-internets%C3%BBr-activity-7295023832770199552-2n1Q,11,3
Date inconnue,Cybermalveillance.gouv.fr,#Hameçonnage ⚠️ Vous avez reçu un courriel vous annonçant l'activation d'un service « Amazon Prime Family » ? Il s'agit certainement d'une ...,Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_alerte-hame%C3%A7onnage-cybers%C3%A9curit%C3%A9-activity-7302982283982983168-XM4t,33,9
Date inconnue,Cybermalveillance.gouv.fr,"Aujourd'hui, c'est aussi le Clean Up Day en #Cybersécurité ! Prenez quelques minutes pour nettoyer votre espace numérique et protéger vos ...",Cybermalveillance.gouv.fr,https://fr.linkedin.com/posts/cybermalveillancegouvfr_cybers%C3%A9curit%C3%A9-cybercleanup-s%C3%A9curit%C3%A9num%C3%A9rique-activity-7306569883100565504-3P0e,44,12
Date inconnue,Edith Brou Bleu,Côte d'Ivoire : l'Agence Nationale de la Sécurité des Systèmes d'Information (ANSSI ) lance officiellement ses activités en ligne !,ANSSI - Côte d'Ivoire,https://fr.linkedin.com/posts/edithbrou_c%C3%B4te-divoire-lagence-nationale-activity-7295159669608615936-ieqn,55,14
Date inconnue,Edith Brou Bleu,"""Les cybercriminels utilisent déjà l'IA pour proposer des offres contenants des ivoiriens célèbres Sur les réseaux sociaux vous allez voir ...",fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/edithbrou_les-cybercriminels-utilisent-activity-7201179374291755008-Nzba,66,16
Date inconnue,ICC,74% des entreprises africaines déclarent avoir subi une cyberattaque selon le Baromètre de la Cybersécurité 2024 du CESIA - CLUB D ...,cybermenace entreprise Afrique,https://fr.linkedin.com/posts/infracybercloud_rapport-d%C3%A9valuation-des-cybermenaces-en-activity-7288197157822636033-UIcw,77,18
Date inconnue,ICC,Découvrez le Rapport d'évaluation des cybermenaces en Afrique publié par INTERPOL. Ce document analyse la situation de la cybercriminalité ...,cybercriminalité Afrique,https://fr.linkedin.com/posts/infracybercloud_rapport-d%C3%A9valuation-des-cybermenaces-en-activity-7288197157822636033-UIcw,88,20
Date inconnue,LinkedIn,Cybermalveillance.gouv.fr sur LinkedIn : Alerte Cyber : Faille de sécurité critique dans Microsoft Outlook.,Cyber Alerte,https://www.linkedin.com/posts/jean-beno%C3%AEt-nonque-9313701_cybermalveillancegouvfr-sur-linkedin-activity-7167855012017070080-0GWs,99,23
Date inconnue,LinkedIn,"Escroqueries en ligne : vigilance accrue face aux nouvelles menaces numériques Les escroqueries en ligne se multiplient, utilisant des méthodes de plus en ...",nouvelles menaces numériques,https://fr.linkedin.com/posts/valorisk-sg_vigilance-accrue-face-aux-nouvelles-menaces-activity-7295713339102437376-Mny_,10,2
Date inconnue,LinkedIn,"Avec la digitalisation rapide en Afrique, les entreprises sont confrontées à des cyberattaques de plus en plus sophistiquées. En 2023, des PME, banques et ...",cybermenace entreprise Afrique,https://fr.linkedin.com/posts/managementdetransition_face-%C3%A0-lescalade-de-la-cybermenace-en-afrique-activity-7178724705007280128-GqM_,21,5
Date inconnue,LinkedIn,Rejoignez notre formation sur la fraude dans les paiements digitaux en Afrique et devenez un acteur clé de la lutte contre les cybercrimes.,fraude numérique intelligence artificielle Afrique,https://fr.linkedin.com/posts/jean-no%C3%ABl-georges-9692112_fraude-paiement-afrique-activity-7242532644008206336-ngFk,32,8
Date inconnue,LinkedIn,The best list of digital forensics tools that I have used so far to produce expert opinion! These are nothing but showcase of digital arms of cyber police ...,Cyber criminel,https://www.linkedin.com/posts/thibault-prono-b485652a0_splash-art-de-mon-cyber-criminel-chaperon-activity-7176287820213276672-iWI_,43,11
Date inconnue,LinkedIn,"Dîtes adieu aux mots de passe faibles dans vos Active Directory On ne vous apprend rien, la force des mots de passe est probablement l'enjeu principal ...",mots de passe faibles,https://fr.linkedin.com/posts/mobeta_d%C3%AEtes-adieu-aux-mots-de-passe-faibles-activity-7222488342305652736-yA3W,54,14
Date inconnue,LinkedIn,➡️ Vous voulez savoir pourquoi ces mots de passe sont si dangereux ? Découvrez les risques des mots de passe faibles ici : Lire l'article : https ...,mots de passe faibles,https://fr.linkedin.com/posts/bassemlamouchi_attention-aux-mots-de-passes-faibles-activity-7293675445852516352-0lm5,65,17
Date inconnue,LinkedIn,Comment piéger des cyber-criminels ? (et les espionner ),Cyber criminel,https://www.linkedin.com/posts/thierry-baile_comment-pi%C3%A9ger-des-cyber-criminels-et-activity-7286788922557235200-WNQK,76,19
Date inconnue,LinkedIn,CYBERCRIMINALITÉ ET CYBERDÉFENSE : L'ANSSI ET LA GENDARMERIE NATIONALE RENFORCENT LEUR COLLABORATION La Gendarmerie Nationale et l'Agence ...,ANSSI - Côte d'Ivoire,https://fr.linkedin.com/posts/anssi-c%C3%B4te-d-ivoire_anssici-plcc-cybersecuriteci-activity-7304063607271510016-M6Ii,87,21
Date inconnue,LinkedIn,Alerte Cyber : Faille de sécurité critique dans Microsoft Outlook. cybermalveillance.gouv.fr.,Cyber Alerte,https://www.linkedin.com/posts/hussein-aissaoui-3a273a_alerte-cyber-faille-de-s%C3%A9curit%C3%A9-critique-activity-7167869978623352832-emg_,98,23
Date inconnue,LinkedIn,"L'ANSSI CÔTE D'IVOIRE RENFORCE SA COOPÉRATION AVEC LE COMCYBER-MI Le 11 Mars 2025, le Colonel-Major Guelpétchin OUATTARA, ...",ANSSI - Côte d'Ivoire,https://fr.linkedin.com/posts/anssi-c%C3%B4te-d-ivoire_anssi-cybers%C3%A9curit%C3%A9-cyberd%C3%A9fense-activity-7306224074958024704-Rasm,43,9
